id,region,municipio,age_group,gender,income
75,Sur,15,30-49,F,23253.16
76,Sur,10,30-49,M,21486.58
77,Sur,15,50+,F,22377.82
78,Norte,7,30-49,F,39285.63
79,Norte,4,30-49,M,28663.95
80,Norte,4,30-49,F,22669.5
81,Sur,20,18-29,M,14078.29
82,Sur,13,50+,M,17943.46
83,Norte,1,18-29,M,25498.04
84,Norte,6,30-49,M,24446.16
85,Norte,7,30-49,F,29685.51
86,Norte,3,18-29,M,19286.81
87,Sur,12,50+,M,22893.11
88,Sur,16,18-29,F,21582.12
89,Sur,15,18-29,F,16499.58
90,Sur,18,18-29,M,12522.8
91,Norte,6,50+,M,29453.46
92,Sur,9,30-49,F,16777.9
93,Sur,17,18-29,M,17451.1
94,Sur,20,18-29,M,18394.01
95,Sur,17,50+,M,22088.51
96,Sur,9,30-49,F,25844.58
97,Sur,16,18-29,M,14373.48
98,Sur,9,18-29,F,13651.68
99,Norte,8,30-49,F,30022.52
100,Norte,1,30-49,M,28216.77
101,Norte,2,50+,M,25171.82
102,Sur,18,30-49,F,23142.69
103,Norte,2,30-49,F,36186.53
104,Sur,11,50+,F,21252.79
105,Sur,18,30-49,M,20915.54
106,Norte,3,30-49,F,23958.81
107,Sur,12,18-29,F,13953.09
108,Sur,9,30-49,F,22256.9
109,Norte,8,50+,F,19130.03
110,Norte,7,18-29,F,24217.41
111,Norte,2,30-49,M,27379.0
112,Norte,4,30-49,M,31990.97
113,Sur,17,30-49,F,31472.36
114,Sur,12,18-29,F,18025.3
115,Sur,14,50+,F,26792.63
116,Sur,17,30-49,M,16367.41
117,Sur,9,50+,M,18057.8
118,Norte,3,50+,F,26140.71
119,Sur,14,18-29,M,18492.86
120,Sur,15,50+,M,27221.34
121,Sur,17,30-49,M,22188.97
122,Sur,12,50+,M,24097.81
123,Norte,7,30-49,M,32824.84
124,Norte,7,30-49,F,29111.33
125,Norte,7,50+,M,25330.41
126,Sur,16,50+,M,15786.1
127,Sur,13,50+,F,16927.67
128,Sur,18,50+,M,27977.65
129,Norte,2,50+,F,20144.05
130,Sur,20,18-29,M,14407.81
131,Sur,10,18-29,F,11418.25
132,Norte,5,30-49,F,27728.92
133,Norte,5,50+,M,28111.38
134,Norte,3,30-49,F,26470.8
135,Sur,9,18-29,M,14080.94
136,Norte,7,18-29,M,17042.07
137,Sur,15,30-49,F,21392.16
138,Sur,9,18-29,M,21028.14
139,Norte,2,30-49,M,31891.0
140,Sur,16,50+,M,17714.54
141,Sur,12,18-29,M,16666.94
142,Norte,8,50+,F,24749.29
143,Sur,17,30-49,M,18363.2
144,Norte,6,50+,F,27121.34
145,Norte,1,30-49,M,29991.58
146,Norte,8,50+,M,31668.67
147,Sur,10,50+,M,19101.37
148,Sur,12,30-49,M,20817.13
149,Norte,3,30-49,F,35125.94
150,Norte,4,30-49,F,26613.12
151,Sur,10,50+,F,19771.81
152,Norte,4,50+,M,16163.69
153,Norte,6,30-49,F,24146.15
154,Sur,9,30-49,M,21815.84
155,Sur,20,30-49,F,23637.65
156,Norte,2,18-29,F,22504.19
157,Sur,12,30-49,M,19934.32
158,Sur,10,18-29,F,19229.26
159,Norte,7,18-29,M,23436.38
160,Sur,9,30-49,F,21189.52
161,Norte,5,30-49,F,25031.72
162,Sur,12,30-49,M,20662.36
163,Sur,16,18-29,F,4580.56
164,Sur,16,30-49,F,18540.35
165,Norte,6,30-49,F,29386.56
166,Sur,9,50+,M,22463.13
167,Norte,5,50+,F,22405.43
168,Norte,1,18-29,F,20626.99
169,Norte,5,50+,F,26826.04
170,Sur,13,30-49,F,23489.22
171,Sur,19,50+,M,18619.2
172,Norte,8,30-49,M,18054.08
173,Sur,13,30-49,M,24715.78
174,Norte,6,18-29,F,22087.73
175,Sur,16,18-29,F,18411.16
176,Norte,7,30-49,M,19605.6
177,Sur,15,18-29,M,17509.85
178,Norte,7,18-29,F,21244.08
179,Sur,9,50+,M,19304.26
180,Norte,2,30-49,M,26378.42
181,Norte,8,18-29,M,18403.08
182,Norte,5,18-29,M,19394.9
183,Sur,13,50+,F,25475.14
184,Sur,18,30-49,M,23077.9
185,Norte,5,30-49,F,30764.23
186,Sur,12,30-49,F,22573.03
187,Sur,16,18-29,M,19812.13
188,Sur,16,30-49,M,23993.82
189,Sur,20,30-49,F,19702.06
190,Norte,8,18-29,M,21253.79
191,Norte,1,18-29,F,17557.44
192,Sur,19,18-29,M,14891.05
193,Sur,15,30-49,M,26502.08
194,Sur,20,30-49,F,21564.99
195,Norte,4,30-49,F,31297.09
196,Norte,8,30-49,M,21862.16
197,Sur,15,30-49,F,21979.42
198,Sur,16,50+,M,24206.29
199,Sur,12,18-29,F,22252.09
200,Sur,20,30-49,F,24686.05
201,Sur,16,30-49,F,28045.89
202,Norte,2,30-49,M,30460.65
203,Norte,4,30-49,M,19160.07
204,Sur,19,18-29,F,10617.49
205,Sur,18,18-29,F,15236.92
206,Norte,3,50+,M,24727.15
207,Norte,3,30-49,F,26783.58
208,Sur,9,30-49,M,19368.7
209,Norte,5,18-29,M,22814.0
210,Norte,8,18-29,M,20647.8
211,Sur,19,18-29,F,11701.17
212,Sur,15,30-49,M,18681.54
213,Sur,20,30-49,M,26803.0
214,Norte,4,30-49,F,28037.98
215,Sur,10,30-49,F,18865.92
216,Norte,4,18-29,M,18047.52
217,Norte,4,50+,F,20795.32
218,Sur,14,18-29,M,18831.46
219,Sur,17,50+,M,19987.83
220,Sur,19,30-49,F,24598.81
221,Sur,13,30-49,F,21001.07
222,Sur,18,30-49,M,22110.7
223,Norte,1,30-49,F,30466.3
224,Norte,3,30-49,F,26263.19
225,Norte,7,18-29,F,18873.14
226,Norte,3,50+,M,28596.75
227,Sur,12,50+,F,20170.17
228,Norte,7,18-29,M,15489.29
229,Sur,20,18-29,F,13198.52
230,Sur,15,50+,M,24675.98
231,Sur,10,50+,M,21356.51
232,Sur,20,18-29,F,22552.76
233,Sur,12,30-49,M,20001.08
234,Sur,16,50+,F,24699.6
235,Norte,4,30-49,M,25447.4
236,Sur,16,18-29,F,14465.28
237,Norte,8,30-49,M,29288.36
238,Norte,6,50+,F,18478.02
239,Sur,20,30-49,M,24310.94
240,Norte,6,18-29,F,13895.18
241,Sur,20,30-49,M,24916.6
242,Sur,20,18-29,F,13555.22
243,Sur,13,30-49,M,22139.48
244,Norte,1,50+,M,34785.55
245,Norte,2,30-49,F,19938.86
246,Sur,16,30-49,M,17391.65
247,Sur,17,18-29,M,14839.61
248,Sur,16,18-29,M,15466.87
249,Sur,13,30-49,M,18721.66
250,Sur,16,30-49,M,15900.47
251,Norte,7,30-49,M,26382.31
252,Norte,2,18-29,F,18778.84
253,Sur,20,30-49,F,22612.29
254,Norte,1,30-49,M,22223.66
255,Norte,2,50+,F,22852.57
256,Sur,9,18-29,M,14632.08
257,Sur,13,30-49,M,18252.74
258,Sur,15,30-49,M,29574.67
259,Sur,18,30-49,F,25285.51
260,Norte,4,30-49,F,27012.73
261,Sur,11,18-29,F,12460.95
262,Sur,20,30-49,M,23479.24
263,Norte,3,50+,M,26814.99
264,Sur,12,18-29,F,14918.29
265,Sur,10,18-29,M,13416.83
266,Sur,9,50+,M,17341.3
267,Sur,14,18-29,F,4000.0
268,Sur,20,50+,M,22046.04
269,Norte,7,30-49,F,31727.95
270,Norte,3,18-29,M,17486.35
271,Sur,18,30-49,M,22661.63
272,Sur,14,30-49,F,14770.74
273,Sur,9,50+,F,22598.8
274,Sur,19,30-49,M,25070.45
275,Sur,19,30-49,M,25936.03
276,Sur,14,18-29,F,11805.39
277,Sur,10,50+,F,18645.65
278,Sur,15,18-29,F,10801.54
279,Sur,13,50+,M,26784.71
280,Sur,14,50+,M,14692.42
281,Sur,18,30-49,M,12114.18
282,Norte,3,18-29,M,20761.0
283,Norte,7,30-49,F,27142.76
284,Norte,2,30-49,F,25737.43
285,Sur,13,30-49,F,23284.51
286,Norte,7,30-49,M,25402.64
287,Sur,12,18-29,F,10874.29
288,Sur,10,18-29,M,22691.71
289,Norte,4,30-49,F,25684.75
290,Sur,18,30-49,F,21922.36
291,Norte,2,30-49,F,23115.01
292,Norte,4,50+,F,27367.3
293,Sur,9,18-29,F,15056.27
294,Norte,7,30-49,M,37114.73
295,Norte,4,18-29,F,25257.9
296,Sur,12,30-49,M,21285.63
297,Sur,14,30-49,F,23053.23
298,Norte,1,18-29,M,23200.19
299,Sur,13,30-49,M,20904.03
300,Norte,6,18-29,M,24707.16
301,Norte,7,30-49,M,32043.79
302,Sur,10,18-29,M,19447.93
303,Sur,10,50+,F,24412.89
304,Sur,17,50+,M,22435.57
305,Sur,13,50+,F,22972.53
306,Sur,16,30-49,F,19832.15
307,Sur,13,30-49,M,21996.96
308,Norte,2,30-49,F,29769.89
309,Sur,12,50+,M,17211.71
310,Norte,4,50+,F,21900.75
311,Sur,15,30-49,M,17986.7
312,Norte,7,50+,F,28139.99
313,Norte,5,30-49,M,32472.53
314,Sur,17,30-49,F,16308.67
315,Sur,9,50+,M,19229.06
316,Sur,15,30-49,M,21487.25
317,Sur,16,50+,F,29464.26
318,Norte,6,18-29,F,16688.98
319,Norte,8,30-49,F,22426.68
320,Norte,2,50+,M,23304.85
321,Sur,15,30-49,F,24485.47
322,Sur,19,18-29,F,10696.51
323,Sur,16,18-29,F,13941.32
324,Norte,1,18-29,F,16406.99
325,Sur,15,18-29,F,15783.41
326,Sur,14,50+,F,20396.31
327,Sur,19,30-49,F,19296.03
328,Sur,20,30-49,F,20366.51
329,Sur,10,30-49,M,20151.26
330,Norte,4,50+,M,31535.56
331,Norte,8,30-49,F,28776.8
332,Sur,9,30-49,F,26977.88
333,Norte,4,18-29,M,16538.01
334,Norte,5,50+,F,20584.3
335,Norte,4,18-29,M,19930.41
336,Norte,7,30-49,M,29942.36
337,Sur,19,50+,M,14159.02
338,Sur,11,30-49,F,19942.94
339,Sur,20,30-49,M,22568.4
340,Norte,1,50+,M,17095.93
341,Sur,19,30-49,M,22783.32
342,Sur,14,50+,M,20417.18
343,Norte,2,50+,M,20371.93
344,Sur,13,50+,F,18441.66
345,Norte,1,18-29,M,19879.17
346,Sur,18,30-49,M,21431.02
347,Sur,9,18-29,M,13847.69
348,Norte,7,18-29,M,17707.1
349,Norte,3,50+,M,26299.91
350,Sur,9,18-29,F,15366.54
351,Sur,15,30-49,F,22303.99
352,Sur,18,18-29,F,8653.18
353,Sur,15,50+,F,23204.27
354,Norte,6,18-29,F,20300.69
355,Norte,6,18-29,F,16030.97
356,Sur,17,50+,F,20974.09
357,Norte,6,50+,M,31590.21
358,Sur,19,50+,F,24308.44
359,Sur,20,30-49,M,30609.04
360,Sur,10,30-49,F,21928.59
361,Norte,6,30-49,M,27018.03
362,Sur,20,30-49,F,21101.69
363,Sur,19,30-49,M,24414.35
364,Sur,10,50+,F,13747.77
365,Sur,20,18-29,M,8876.17
366,Norte,2,30-49,F,25666.8
367,Sur,15,30-49,F,25958.47
368,Sur,20,18-29,M,15437.99
369,Norte,4,30-49,F,29611.56
370,Norte,8,30-49,F,31998.65
371,Norte,5,18-29,F,15035.24
372,Norte,3,18-29,F,17322.67
373,Norte,7,30-49,F,37490.37
374,Sur,13,30-49,F,20906.98
375,Norte,7,30-49,M,26987.15
376,Norte,2,18-29,M,21444.6
377,Sur,18,18-29,M,19444.31
378,Norte,2,30-49,F,32996.81
379,Sur,11,50+,F,17699.64
380,Norte,5,50+,F,27215.2
381,Norte,8,30-49,M,27848.76
382,Sur,17,50+,F,17411.69
383,Sur,20,50+,F,21437.54
384,Sur,16,30-49,M,17364.91
385,Sur,10,18-29,M,18028.88
386,Sur,13,30-49,F,20254.91
387,Norte,5,50+,M,37547.06
388,Norte,3,18-29,F,18977.66
389,Sur,12,18-29,M,8649.85
390,Sur,11,50+,M,22744.14
391,Sur,11,30-49,F,17615.84
392,Sur,10,50+,F,27991.87
393,Norte,3,18-29,M,20307.72
394,Sur,20,30-49,F,26450.4
395,Norte,2,50+,F,16549.63
396,Sur,19,18-29,M,13101.14
397,Sur,16,30-49,M,22165.18
398,Sur,16,30-49,M,27329.47
399,Sur,18,30-49,M,21829.42
400,Sur,13,30-49,F,24776.72
401,Norte,4,30-49,M,19707.87
402,Sur,17,30-49,M,22983.98
403,Sur,9,30-49,M,21836.65
404,Sur,9,18-29,M,9967.02
405,Norte,5,30-49,F,28921.91
406,Sur,15,30-49,F,26346.94
407,Norte,3,50+,M,20905.88
408,Norte,6,30-49,F,35787.32
409,Sur,15,30-49,M,24995.46
410,Norte,5,30-49,M,17715.59
411,Norte,1,50+,M,27758.91
412,Sur,19,30-49,F,17662.67
413,Sur,13,50+,F,17936.54
414,Sur,19,30-49,M,29085.64
415,Sur,9,50+,F,16647.52
416,Sur,20,18-29,M,22034.44
417,Norte,8,18-29,F,14981.14
418,Norte,1,30-49,F,28624.37
419,Sur,14,50+,F,15051.04
420,Sur,9,50+,F,19941.47
421,Sur,18,18-29,F,13168.42
422,Sur,14,50+,M,18142.43
423,Norte,3,18-29,F,18653.95
424,Sur,15,50+,M,22658.83
425,Norte,8,50+,F,27226.12
426,Sur,10,50+,F,23773.09
427,Sur,15,18-29,M,7721.93
428,Sur,13,30-49,F,25390.77
429,Norte,5,50+,M,35135.06
430,Norte,1,50+,F,24952.28
431,Norte,7,50+,M,28173.92
432,Sur,18,30-49,F,22156.96
433,Sur,15,30-49,F,16952.92
434,Norte,2,30-49,M,28041.58
435,Norte,4,18-29,M,18540.38
436,Sur,20,30-49,M,20452.24
437,Norte,7,18-29,F,21153.53
438,Sur,17,50+,M,18976.6
439,Sur,15,50+,F,26828.3
440,Norte,8,30-49,M,29566.24
441,Norte,6,30-49,M,33203.87
442,Sur,14,50+,M,19543.21
443,Norte,5,18-29,F,15789.1
444,Norte,4,18-29,M,18928.83
445,Sur,18,18-29,F,15723.29
446,Sur,10,18-29,M,20433.68
447,Sur,9,50+,F,19932.94
448,Sur,15,18-29,M,14874.57
449,Norte,3,18-29,F,7372.29
450,Norte,3,50+,F,31347.65
451,Sur,14,50+,M,26489.09
452,Sur,17,18-29,F,17196.05
453,Sur,20,50+,M,20195.77
454,Sur,12,30-49,M,24488.84
455,Norte,6,18-29,F,23790.27
456,Sur,17,18-29,F,15012.08
457,Norte,5,30-49,M,30888.77
458,Sur,14,50+,F,23196.13
459,Norte,6,50+,M,25163.12
460,Norte,7,50+,F,30598.65
461,Norte,5,18-29,F,21117.64
462,Sur,12,30-49,M,19644.11
463,Sur,16,18-29,F,18148.0
464,Sur,19,50+,F,15987.75
465,Sur,16,50+,M,24555.99
466,Norte,3,50+,F,20055.56
467,Norte,4,18-29,M,20178.11
468,Sur,18,18-29,F,14346.37
469,Norte,2,50+,M,29276.18
470,Sur,13,30-49,F,22018.81
471,Norte,4,18-29,F,19074.71
472,Sur,19,50+,F,16838.45
473,Norte,1,30-49,M,24660.54
474,Sur,10,18-29,F,15307.96
475,Sur,17,30-49,F,18364.19
476,Sur,19,50+,M,24307.13
477,Norte,4,30-49,F,25833.3
478,Sur,18,30-49,M,22241.85
479,Sur,9,50+,F,21467.57
480,Sur,14,30-49,F,16251.92
481,Sur,10,18-29,M,14982.09
482,Sur,11,30-49,F,22819.14
483,Sur,18,18-29,M,14265.47
484,Sur,15,18-29,F,17490.57
485,Sur,18,50+,F,18264.47
486,Sur,20,18-29,M,19296.52
487,Norte,4,30-49,M,27400.68
488,Norte,8,30-49,M,29202.9
489,Sur,16,30-49,M,23860.14
490,Sur,16,30-49,M,16321.55
491,Sur,12,18-29,F,17884.1
492,Sur,15,30-49,M,25419.67
493,Norte,8,30-49,F,29585.24
494,Norte,8,18-29,M,20935.83
495,Sur,11,30-49,M,23482.02
496,Norte,5,50+,F,28837.14
497,Sur,9,18-29,M,15071.38
498,Norte,7,18-29,F,21966.57
499,Sur,20,30-49,F,24782.3
500,Sur,13,18-29,M,13666.75
501,Sur,15,50+,F,26359.28
502,Sur,18,50+,M,23674.35
503,Norte,7,30-49,M,24889.44
504,Sur,14,18-29,M,16630.18
505,Sur,18,30-49,F,19564.39
506,Norte,2,30-49,F,31809.9
507,Sur,16,50+,F,19312.59
508,Sur,13,50+,M,16114.48
509,Sur,20,50+,M,20248.09
510,Sur,19,50+,M,19247.38
511,Sur,11,30-49,M,26282.41
512,Sur,17,50+,M,20367.24
513,Sur,16,18-29,F,12205.34
514,Sur,19,30-49,F,21707.54
515,Norte,4,30-49,M,32620.39
516,Norte,3,30-49,M,29184.21
517,Norte,7,18-29,M,17438.82
518,Sur,13,30-49,F,24684.36
519,Sur,15,30-49,F,22155.75
520,Norte,5,50+,F,22144.08
521,Sur,16,50+,M,15695.82
522,Norte,2,50+,F,29683.21
523,Sur,16,18-29,M,15237.07
524,Sur,16,50+,F,19555.28
525,Sur,17,50+,F,25741.89
526,Sur,19,50+,M,15861.82
527,Sur,14,30-49,M,23434.56
528,Norte,7,18-29,M,24633.15
529,Norte,3,30-49,M,24254.95
530,Sur,18,30-49,F,20401.11
531,Sur,17,30-49,F,20945.24
532,Sur,18,18-29,M,17786.21
533,Sur,11,50+,M,26863.77
534,Sur,14,18-29,F,9347.77
535,Sur,19,18-29,F,12682.49
536,Sur,18,30-49,F,16252.7
537,Sur,12,30-49,M,24781.78
538,Norte,2,50+,F,24970.89
539,Sur,13,30-49,F,19036.65
540,Norte,7,30-49,F,25131.96
541,Sur,12,50+,M,20168.28
542,Sur,12,18-29,F,4437.1
543,Norte,8,50+,F,22423.48
544,Sur,11,18-29,M,8500.64
545,Sur,15,30-49,F,23283.67
546,Norte,6,30-49,F,25772.85
547,Norte,7,50+,M,28009.03
548,Sur,18,50+,M,15253.66
549,Sur,18,18-29,M,14985.15
550,Sur,13,30-49,F,19275.76
551,Sur,19,30-49,M,23063.13
552,Sur,12,18-29,M,11929.87
553,Sur,19,50+,F,17979.74
554,Sur,11,50+,M,22227.36
555,Sur,19,50+,F,17299.67
556,Sur,18,30-49,F,13968.29
557,Norte,7,30-49,F,26411.59
558,Norte,3,50+,M,22498.02
559,Sur,15,30-49,F,16120.82
560,Sur,13,30-49,F,28950.28
561,Sur,13,30-49,F,29218.49
562,Norte,4,30-49,M,35408.44
563,Norte,4,50+,F,20613.76
564,Norte,7,50+,M,29163.44
565,Norte,8,50+,M,28773.91
566,Sur,20,18-29,M,16428.97
567,Norte,6,30-49,F,25290.54
568,Sur,18,30-49,M,21408.31
569,Sur,16,50+,F,20864.41
570,Norte,7,18-29,F,22954.2
571,Sur,11,30-49,F,19731.12
572,Sur,15,50+,M,17586.08
573,Norte,2,50+,F,30415.41
574,Sur,20,50+,M,21530.73
575,Sur,18,18-29,M,15708.88
576,Sur,15,18-29,M,21484.3
577,Norte,7,30-49,M,25119.63
578,Sur,16,30-49,M,28040.23
579,Sur,11,30-49,M,24842.19
580,Norte,5,18-29,M,20375.91
581,Sur,13,50+,M,27323.37
582,Sur,12,18-29,M,11072.66
583,Sur,10,30-49,F,12778.28
584,Norte,5,50+,M,28375.36
585,Sur,10,50+,F,15694.9
586,Norte,5,30-49,F,27683.13
587,Norte,2,18-29,F,16726.87
588,Norte,5,30-49,M,33708.34
589,Norte,2,18-29,M,17417.03
590,Norte,8,30-49,M,31176.12
591,Norte,1,18-29,F,28330.73
592,Sur,11,18-29,M,13159.87
593,Norte,2,50+,F,28625.81
594,Norte,7,30-49,F,34821.53
595,Sur,18,50+,F,16954.83
596,Sur,14,18-29,F,13591.86
597,Sur,15,50+,M,24726.82
598,Norte,6,18-29,M,21916.52
599,Norte,4,50+,M,20133.68
600,Norte,2,18-29,M,18658.88
601,Norte,8,18-29,M,20757.89
602,Norte,8,30-49,F,33306.66
603,Norte,2,30-49,M,23179.71
604,Norte,4,50+,F,22273.3
605,Norte,1,30-49,F,23459.9
606,Sur,10,30-49,F,19285.55
607,Norte,7,30-49,F,23362.98
608,Norte,4,30-49,M,29757.2
609,Sur,19,50+,M,11515.28
610,Sur,11,18-29,M,7527.39
611,Norte,1,30-49,F,32003.49
612,Sur,11,50+,F,24009.94
613,Sur,13,30-49,M,24339.07
614,Norte,1,50+,M,24655.47
615,Sur,19,50+,M,23107.99
616,Sur,11,18-29,M,9466.75
617,Norte,2,50+,F,23756.05
618,Norte,1,30-49,F,28731.62
619,Sur,19,30-49,M,24312.21
620,Sur,14,18-29,M,16447.98
621,Norte,7,50+,F,22217.26
622,Norte,8,30-49,M,20998.88
623,Norte,5,50+,M,18549.05
624,Sur,19,50+,F,29628.06
625,Sur,10,30-49,F,23943.76
626,Norte,7,30-49,M,18951.93
627,Sur,15,18-29,F,16012.93
628,Sur,20,30-49,M,22662.54
629,Norte,2,30-49,F,32667.0
630,Norte,7,50+,F,24866.42
631,Sur,11,30-49,F,23103.66
632,Sur,18,50+,M,23354.65
633,Sur,18,50+,M,22798.99
634,Sur,14,30-49,F,30026.09
635,Norte,5,18-29,F,20991.74
636,Sur,17,18-29,M,24050.92
637,Sur,12,18-29,M,12136.27
638,Norte,4,50+,M,27762.89
639,Norte,1,50+,F,25663.37
640,Norte,2,30-49,M,34978.07
641,Norte,4,18-29,M,23775.12
642,Norte,5,30-49,M,20828.1
643,Norte,3,30-49,F,32736.63
644,Norte,5,18-29,M,19804.05
645,Norte,7,50+,M,23359.66
646,Sur,16,30-49,F,22096.53
647,Sur,19,18-29,F,15520.03
648,Sur,11,50+,M,23054.72
649,Sur,13,30-49,F,23903.63
650,Sur,20,18-29,F,18731.79
651,Norte,4,50+,F,23855.99
652,Sur,16,30-49,M,25863.24
653,Sur,15,30-49,M,25383.22
654,Sur,13,30-49,F,22487.43
655,Sur,16,18-29,F,16086.5
656,Norte,6,50+,F,17527.29
657,Norte,6,50+,M,30270.53
658,Norte,7,50+,F,25504.72
659,Sur,11,50+,F,25051.92
660,Sur,10,30-49,F,27067.85
661,Norte,2,30-49,F,20149.83
662,Sur,18,30-49,M,17411.65
663,Sur,10,18-29,M,17606.84
664,Norte,3,30-49,F,29204.66
665,Norte,2,30-49,F,25625.09
666,Norte,2,18-29,M,16728.16
667,Norte,7,50+,M,28251.58
668,Norte,3,50+,M,14448.76
669,Norte,1,18-29,F,27832.24
670,Norte,4,18-29,F,24646.71
671,Norte,4,50+,M,30818.69
672,Sur,15,30-49,M,22351.98
673,Norte,2,18-29,M,21289.53
674,Sur,18,18-29,F,17882.33
675,Sur,10,30-49,F,30280.84
676,Sur,17,30-49,F,24081.11
677,Norte,5,18-29,M,20751.88
678,Norte,1,30-49,M,36577.77
679,Sur,19,30-49,M,25161.95
680,Sur,20,18-29,M,17713.07
681,Sur,10,50+,M,26768.13
682,Norte,4,50+,F,22555.36
683,Norte,1,30-49,F,26944.14
684,Sur,18,18-29,F,11021.82
685,Sur,20,30-49,M,20134.37
686,Sur,13,50+,F,22512.14
687,Sur,16,50+,M,22991.0
688,Norte,8,50+,F,16867.82
689,Sur,15,18-29,F,8379.66
690,Norte,3,30-49,F,33571.68
691,Norte,2,18-29,F,15499.54
692,Sur,18,50+,F,23046.21
693,Sur,13,50+,M,26654.5
694,Norte,6,30-49,M,29888.01
695,Norte,8,30-49,F,34239.42
696,Sur,10,50+,F,19473.64
697,Norte,4,30-49,F,29334.15
698,Sur,10,18-29,F,14124.64
699,Norte,6,18-29,F,21395.75
700,Sur,14,50+,M,20458.17
701,Sur,10,30-49,M,17431.09
702,Norte,7,50+,F,24874.95
703,Norte,5,18-29,F,14342.41
704,Norte,7,30-49,M,29622.32
705,Norte,6,18-29,M,20780.58
706,Sur,10,50+,F,19835.15
707,Norte,2,30-49,F,28969.72
708,Sur,10,50+,F,19346.99
709,Norte,5,50+,F,27704.61
710,Sur,13,50+,F,21219.18
711,Sur,14,30-49,M,21221.43
712,Sur,12,50+,F,22394.94
713,Sur,15,18-29,F,12652.06
714,Sur,14,18-29,F,16889.38
715,Norte,8,30-49,F,20235.18
716,Sur,10,30-49,F,24961.1
717,Sur,12,50+,M,16669.77
718,Sur,18,18-29,F,7428.11
719,Norte,8,18-29,M,19724.68
720,Sur,12,30-49,M,20902.72
721,Sur,19,18-29,F,21529.63
722,Norte,2,50+,M,23248.36
723,Norte,4,18-29,F,23531.38
724,Sur,14,50+,F,19900.1
725,Sur,19,18-29,M,12887.24
726,Sur,19,18-29,M,26615.47
727,Norte,7,30-49,M,27848.7
728,Sur,9,50+,M,18936.02
729,Norte,8,18-29,F,15945.22
730,Norte,8,18-29,M,19836.13
731,Norte,1,30-49,F,25728.87
732,Sur,17,50+,M,22340.61
733,Sur,19,18-29,F,20616.47
734,Sur,15,50+,F,23715.41
735,Norte,4,18-29,M,27688.51
736,Sur,15,30-49,F,17784.04
737,Norte,6,18-29,F,18679.95
738,Sur,12,18-29,F,9565.84
739,Sur,14,18-29,M,17710.79
740,Norte,5,30-49,F,29829.61
741,Sur,10,50+,M,14825.5
742,Norte,3,18-29,M,24299.78
743,Sur,19,50+,F,19718.7
744,Sur,9,18-29,F,17485.4
745,Norte,8,50+,M,25724.37
746,Sur,16,30-49,M,16874.73
